date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-04-19,False,False,11.4,12.7
2025-04-20,False,False,12.5,11.5
2025-04-21,False,False,11.1,11.8
2025-04-22,False,False,11.5,11.3
2025-04-23,False,False,12.3,11.8
2025-04-24,False,False,9.9,7.3
2025-04-25,False,False,9.6,8.4
2025-04-26,False,False,10.6,5.9
2025-04-27,False,False,12.2,9.5
2025-04-28,False,False,13.9,14.9
2025-04-29,False,False,15.5,16.2
2025-04-30,False,False,16.4,16.5
2025-05-01,False,True,17.3,18.2
2025-05-02,True,True,18.4,18.6
2025-05-03,True,False,16.2,14.2
2025-05-04,False,False,11.7,10.5
2025-05-05,False,False,7.2,-1.5
2025-05-06,False,False,8.8,5.6
2025-05-07,False,False,10.4,8.2
2025-05-08,False,False,10.0,7.5
2025-05-09,False,False,9.8,6.2
2025-05-10,False,False,11.0,9.8
2025-05-11,False,False,13.2,10.4
2025-05-12,False,False,13.2,12.7
2025-05-13,False,False,12.9,12.1
2025-05-14,False,False,14.2,15.2
2025-05-15,False,False,12.5,9.3
2025-05-16,False,False,10.4,9.2
2025-05-17,False,False,11.4,11.2
2025-05-18,False,False,12.3,9.4
2025-05-19,False,False,13.4,14.2
2025-05-20,False,False,15.6,15.7
2025-05-21,False,False,14.7,15.7
2025-05-22,False,False,11.8,9.9
2025-05-23,False,False,10.1,9.4
2025-05-24,False,False,11.5,11.5
2025-05-25,False,False,12.3,8.0
2025-05-26,False,False,13.8,11.7
2025-05-27,False,False,13.3,12.7
2025-05-28,False,False,13.8,7.5
2025-05-29,False,False,14.0,12.3
2025-05-30,False,False,18.5,19.8
2025-05-31,False,False,20.9,22.6
2025-06-01,False,False,19.7,20.7
2025-06-02,False,False,17.1,18.6
2025-06-03,False,False,17.6,19.6
2025-06-04,False,False,18.6,20.3
2025-06-05,False,False,16.1,15.8
2025-06-06,False,False,18.3,16.3
2025-06-07,False,False,16.6,14.3
2025-06-08,False,False,14.5,9.0
2025-06-09,False,False,14.6,16.3
2025-06-10,False,False,17.4,16.8
2025-06-11,False,False,17.7,18.8
2025-06-12,False,False,18.9,17.7
2025-06-13,False,False,21.0,19.8
2025-06-14,False,False,22.2,23.4
2025-06-15,False,False,21.4,23.2
2025-06-16,False,False,17.5,16.9
2025-06-17,False,False,18.7,19.3
2025-06-18,False,False,20.1,21.8
2025-06-19,False,False,21.3,22.3
2025-06-20,False,False,19.9,19.8
2025-06-21,False,False,20.4,19.3
2025-06-22,False,False,22.8,23.5
2025-06-23,False,False,22.6,20.7
2025-06-24,False,False,21.5,20.2
2025-06-25,False,False,24.1,24.7
2025-06-26,False,False,21.9,22.1
2025-06-27,False,False,20.9,21.1
2025-06-28,False,False,22.6,24.6
2025-06-29,False,True,24.8,27.0
2025-06-30,True,True,25.4,25.9
2025-07-01,True,True,26.2,27.6
2025-07-02,True,True,26.5,27.8
2025-07-03,True,False,23.0,23.8
2025-07-04,False,False,21.1,23.0
2025-07-05,False,False,22.2,23.5
2025-07-06,False,False,21.0,20.7
2025-07-07,False,False,17.1,14.4
2025-07-08,False,False,13.6,10.5
2025-07-09,False,False,14.7,13.0
2025-07-10,False,False,17.2,17.8
2025-07-11,False,False,17.7,19.5
2025-07-12,False,False,18.6,19.3
2025-07-13,False,False,21.0,21.0
2025-07-14,False,False,19.3,17.7
2025-07-15,False,False,18.8,18.6
2025-07-16,False,False,17.2,13.7
2025-07-17,False,False,16.9,15.6
2025-07-18,False,False,19.5,20.7
2025-07-19,False,False,21.9,23.1
2025-07-20,False,False,22.9,24.7
2025-07-21,False,False,18.1,17.6
2025-07-22,False,False,18.0,14.6
2025-07-23,False,False,19.1,20.3
2025-07-24,False,False,17.2,19.4
2025-07-25,False,False,17.5,20.2
2025-07-26,False,False,16.6,17.7
2025-07-27,False,False,16.7,17.6
2025-07-28,False,False,15.4,12.3
2025-07-29,False,False,15.7,16.1
2025-07-30,False,False,15.7,14.8
2025-07-31,False,False,16.5,15.2
2025-08-01,False,False,16.6,15.9
2025-08-02,False,False,14.6,15.0
2025-08-03,False,False,14.1,13.1
2025-08-04,False,False,14.6,11.6
2025-08-05,False,False,18.6,18.1
2025-08-06,False,False,16.8,17.9
2025-08-07,False,False,18.7,20.4
2025-08-08,False,False,21.6,22.6
2025-08-09,False,False,24.3,25.7
2025-08-10,False,False,22.1,22.3
2025-08-11,False,False,21.0,20.1
2025-08-12,False,False,22.5,23.5
2025-08-13,False,True,25.3,26.4
2025-08-14,False,True,25.6,27.3
2025-08-15,False,True,24.5,26.7
2025-08-16,False,False,21.5,24.0
2025-08-17,False,False,18.9,19.4
2025-08-18,False,False,18.7,18.8
2025-08-19,False,False,19.9,20.7
2025-08-20,False,False,19.9,21.7
2025-08-21,False,False,17.0,17.6
