	precision	recall	f1-score	support
0	0.9652173913043478	0.5857519788918206	0.729064039408867	379.0
1	0.042682926829268296	0.4666666666666667	0.0782122905027933	15.0
accuracy	0.5812182741116751	0.5812182741116751	0.5812182741116751	0.5812182741116751
macro avg	0.5039501590668081	0.5262093227792437	0.40363816495583016	394.0
weighted avg	0.9300955208294083	0.5812182741116751	0.7042854195266561	394.0
