date,posEHF,Euroheat,t2m_daily_mean,utci_daily_mean
2025-06-16,False,False,24.4,26.8
2025-06-17,False,False,21.3,20.7
2025-06-18,False,False,23.2,25.1
2025-06-19,False,False,25.3,27.9
2025-06-20,False,False,26.3,28.6
2025-06-21,False,False,25.4,27.1
2025-06-22,False,False,25.4,28.0
2025-06-23,False,False,28.0,29.6
2025-06-24,False,False,28.1,30.1
2025-06-25,False,True,29.5,31.9
2025-06-26,False,True,30.5,32.1
2025-06-27,False,False,28.2,30.6
2025-06-28,False,False,28.8,31.1
2025-06-29,False,False,29.2,30.6
2025-06-30,False,False,29.6,31.0
2025-07-01,False,False,29.0,31.1
2025-07-02,False,True,28.5,31.2
2025-07-03,False,True,29.3,31.9
2025-07-04,False,True,29.5,31.6
2025-07-05,False,False,27.6,30.2
2025-07-06,False,False,27.4,29.3
2025-07-07,False,False,26.0,25.9
2025-07-08,False,False,21.7,21.4
2025-07-09,False,False,20.8,21.8
2025-07-10,False,False,22.8,23.4
2025-07-11,False,False,24.1,24.6
2025-07-12,False,False,25.0,26.1
2025-07-13,False,False,25.1,26.4
2025-07-14,False,False,26.6,28.5
2025-07-15,False,False,27.9,30.1
2025-07-16,False,False,26.7,28.4
2025-07-17,False,False,25.7,26.7
2025-07-18,False,False,26.9,27.9
2025-07-19,False,False,28.1,30.3
2025-07-20,False,False,28.6,30.3
2025-07-21,False,False,28.5,28.6
2025-07-22,False,False,27.9,29.2
2025-07-23,False,False,28.0,29.4
2025-07-24,False,False,27.4,27.6
2025-07-25,False,False,23.4,24.7
2025-07-26,False,False,22.0,23.7
2025-07-27,False,False,25.3,25.3
2025-07-28,False,False,19.5,17.7
2025-07-29,False,False,21.2,21.5
2025-07-30,False,False,21.5,22.4
2025-07-31,False,False,22.8,24.8
2025-08-01,False,False,23.6,25.5
2025-08-02,False,False,21.2,23.5
2025-08-03,False,False,20.6,22.5
2025-08-04,False,False,21.9,23.7
2025-08-05,False,False,23.3,24.9
2025-08-06,False,False,23.8,24.4
2025-08-07,False,False,24.3,26.4
2025-08-08,False,False,26.0,28.7
2025-08-09,False,False,27.4,30.3
2025-08-10,False,False,28.1,30.5
2025-08-11,False,False,27.9,30.0
2025-08-12,False,False,27.9,30.7
2025-08-13,False,False,28.1,30.4
2025-08-14,False,False,28.6,30.2
2025-08-15,False,False,28.6,29.4
2025-08-16,False,False,28.8,29.4
2025-08-17,False,False,26.9,27.8
2025-08-18,False,False,26.5,27.9
2025-08-19,False,False,26.0,28.0
2025-08-20,False,False,24.8,27.6
2025-08-21,False,False,22.5,24.0
2025-08-22,False,False,22.9,24.3
2025-08-23,False,False,22.1,23.8
2025-08-24,False,False,20.8,22.0
2025-08-25,False,False,21.8,23.7
2025-08-26,False,False,23.4,26.2
2025-08-27,False,False,24.2,26.7
2025-08-28,False,False,25.7,27.0
2025-08-29,False,False,23.9,23.5
2025-08-30,False,False,20.5,20.2
2025-08-31,False,False,22.3,22.9
2025-09-01,False,False,23.6,24.5
2025-09-02,False,False,21.5,23.4
2025-09-03,False,False,21.8,23.2
2025-09-04,False,False,22.7,24.6
2025-09-05,False,False,23.1,24.3
2025-09-06,False,False,22.2,23.7
